date,hour,systemMarginalPrice
2026-03-23T04:00:00+03:00,2026-03-23T04:00:00+03:00,0.0
2026-03-23T05:00:00+03:00,2026-03-23T05:00:00+03:00,9.0
2026-03-23T06:00:00+03:00,2026-03-23T06:00:00+03:00,1200.0
2026-03-23T07:00:00+03:00,2026-03-23T07:00:00+03:00,1855.85
2026-03-23T08:00:00+03:00,2026-03-23T08:00:00+03:00,3399.24
2026-03-23T09:00:00+03:00,2026-03-23T09:00:00+03:00,3399.42
2026-03-23T10:00:00+03:00,2026-03-23T10:00:00+03:00,3399.27
2026-03-23T11:00:00+03:00,2026-03-23T11:00:00+03:00,3399.25
2026-03-23T12:00:00+03:00,2026-03-23T12:00:00+03:00,3399.21
2026-03-23T13:00:00+03:00,2026-03-23T13:00:00+03:00,3399.2
2026-03-23T14:00:00+03:00,2026-03-23T14:00:00+03:00,3399.23
2026-03-23T15:00:00+03:00,2026-03-23T15:00:00+03:00,2199.99
2026-03-23T16:00:00+03:00,2026-03-23T16:00:00+03:00,3399.22
2026-03-23T17:00:00+03:00,2026-03-23T17:00:00+03:00,3399.6
2026-03-23T18:00:00+03:00,2026-03-23T18:00:00+03:00,3399.5
2026-03-23T19:00:00+03:00,2026-03-23T19:00:00+03:00,3400.0
2026-03-23T20:00:00+03:00,2026-03-23T20:00:00+03:00,3400.0
2026-03-23T21:00:00+03:00,2026-03-23T21:00:00+03:00,3399.93
2026-03-23T22:00:00+03:00,2026-03-23T22:00:00+03:00,3399.91
2026-03-23T23:00:00+03:00,2026-03-23T23:00:00+03:00,3399.21
2026-03-24T00:00:00+03:00,2026-03-24T00:00:00+03:00,3388.0
2026-03-24T01:00:00+03:00,2026-03-24T01:00:00+03:00,3200.03
2026-03-24T02:00:00+03:00,2026-03-24T02:00:00+03:00,3200.01
2026-03-24T03:00:00+03:00,2026-03-24T03:00:00+03:00,800.0
2026-03-24T04:00:00+03:00,2026-03-24T04:00:00+03:00,2899.0
2026-03-24T05:00:00+03:00,2026-03-24T05:00:00+03:00,1705.0
2026-03-24T06:00:00+03:00,2026-03-24T06:00:00+03:00,1705.0
2026-03-24T07:00:00+03:00,2026-03-24T07:00:00+03:00,700.0
2026-03-24T08:00:00+03:00,2026-03-24T08:00:00+03:00,3399.22
2026-03-24T09:00:00+03:00,2026-03-24T09:00:00+03:00,3399.24
2026-03-24T10:00:00+03:00,2026-03-24T10:00:00+03:00,3390.0
2026-03-24T11:00:00+03:00,2026-03-24T11:00:00+03:00,3390.0
2026-03-24T12:00:00+03:00,2026-03-24T12:00:00+03:00,2500.0
2026-03-24T13:00:00+03:00,2026-03-24T13:00:00+03:00,1705.0
2026-03-24T14:00:00+03:00,2026-03-24T14:00:00+03:00,500.0
2026-03-24T15:00:00+03:00,2026-03-24T15:00:00+03:00,1200.0
2026-03-24T16:00:00+03:00,2026-03-24T16:00:00+03:00,1719.09
2026-03-24T17:00:00+03:00,2026-03-24T17:00:00+03:00,3200.0
2026-03-24T18:00:00+03:00,2026-03-24T18:00:00+03:00,1001.0
2026-03-24T19:00:00+03:00,2026-03-24T19:00:00+03:00,3399.5
2026-03-24T20:00:00+03:00,2026-03-24T20:00:00+03:00,3390.0
